Name:string,Calls:ulong,Excl Count Min:ulong,Excl Count Max:ulong,Excl Count Average,Excl Count Total:float,Incl Count Min:ulong,Incl Count Max:ulong,Incl Count Average,Incl Count Total:float,Filename:string,Line Number:uinteger,Start Address:uinteger
"compute_SHA256(unsigned char *, unsigned char *, unsigned int)","10","31","32","31.1","311.0","1219","5649","2991.1","29911.0","C:\Users\mraes\Desktop\crypto\Release\..\ciphers\sha2\sha2_wrapper.c","18","2147528672"
"ocb_encrypt(unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned int)","3","14","14","14.0","42.0","5128","12545","10072.666666666666","30218.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","250","2147494440"
"ocb_decrypt(unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned int)","3","14","14","14.0","42.0","6088","13425","10979.333333333334","32938.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","258","2147494472"
"ocb_crypt(unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned int, int)","6","348","961","734.5","4407.0","5114","13411","10512.0","63072.0","C:\Users\mraes\Desktop\crypto\Release\..\ocb\ocb.c","121","2147492768"
"RSASSA_PKCS1V1_5_VERIFY(unsigned char *, unsigned int, unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned char *, unsigned char *)","2","821","821","821.0","1642.0","961273","962953","962113.0","1924226.0","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\signatures.c","132","2147514452"
"init_connection(unsigned char *)","1","49","49","49.0","49.0","2280030","2280030","2280030.0","2280030.0","C:\Users\mraes\Desktop\crypto\Release\..\sts\sts_master.c","54","2147507784"
"validate_slave(unsigned char *, unsigned char *)","1","71","71","71.0","71.0","3254266","3254266","3254266.0","3254266.0","C:\Users\mraes\Desktop\crypto\Release\..\sts\sts_master.c","73","2147507240"
"m_validate_packet(unsigned char *, unsigned char *)","1","82","82","82.0","82.0","3254348","3254348","3254348.0","3254348.0","C:\Users\mraes\Desktop\crypto\Release\..\packman\packman_master.c","69","2147499948"
"validate_master(unsigned char *, unsigned char *)","1","57","57","57.0","57.0","3391756","3391756","3391756.0","3391756.0","C:\Users\mraes\Desktop\crypto\Release\..\sts\sts_slave.c","87","2147506376"
"s_validate_packet(unsigned char *, unsigned char *)","4","99","106","100.75","403.0","151","3391855","851008.5","3404034.0","C:\Users\mraes\Desktop\crypto\Release\..\packman\packman_slave.c","58","2147501108"
"reply_slave(unsigned char *, unsigned char *)","1","44","44","44.0","44.0","84583656","84583656","8.4583656E7","8.4583656E7","C:\Users\mraes\Desktop\crypto\Release\..\sts\sts_master.c","105","2147507496"
"m_create_packet(unsigned char *, unsigned char *, unsigned char, unsigned char)","4","62","71","67.25","269.0","122","84583755","2.17176775E7","8.687071E7","C:\Users\mraes\Desktop\crypto\Release\..\packman\packman_master.c","40","2147500504"
"reply_master(unsigned char *, unsigned char *, unsigned char *)","1","103","103","103.0","103.0","90972586","90972586","9.0972586E7","9.0972586E7","C:\Users\mraes\Desktop\crypto\Release\..\sts\sts_slave.c","49","2147506736"
"s_create_packet(unsigned char *, unsigned char *, unsigned char, unsigned char)","1","65","65","65.0","65.0","90972679","90972679","9.0972679E7","9.0972679E7","C:\Users\mraes\Desktop\crypto\Release\..\packman\packman_slave.c","41","2147501876"
"RSASSA_PKCS1_V1_5_SIGN(unsigned char *, unsigned char *, unsigned int, unsigned char *, unsigned char *, unsigned char *, unsigned char *, unsigned int)","2","110","110","110.0","220.0","84569671","86129033","8.5349352E7","1.70698704E8","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\signatures.c","95","2147514284"
"montgomery_multiplication(unsigned short *, unsigned short *, unsigned short *, unsigned short *)","4057","45362","45603","45405.27803795904","1.8420921299999982E8","45384","45625","45427.27803795905","1.8429846699999985E8","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\monmult.c","58","2147488260"
"montgomery_exponentiation(unsigned char *, unsigned char *, unsigned char *, unsigned char, unsigned char *, unsigned char *, unsigned char *)","9","703","30877","9906.555555555555","89159.0","954710","86123181","2.0488457E7","1.84396113E8","C:\Users\mraes\Desktop\crypto\Release\..\asymmetric\monexp.c","25","2147510176"
"initialize_connection()","1","120","120","120.0","120.0","184543223","184543223","1.84543223E8","1.84543223E8","C:\Users\mraes\Desktop\crypto\Release\..\crypto_wrapper.c","7","2147508736"
"main()","1","-","-","172.0","172.0","-","-","1.84591788E8","1.84591788E8","C:\Users\mraes\Desktop\crypto\Release\..\main.c","6","2147519456"
